composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,pressure,HtoM,source,phase,
MgVAlCrNi,0.3,,,,0.1,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
MgVAlCrNi,0.3,,,,0.13,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
MgVTiCrFe,2.7,,623,,1.72,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
MgZrTiFe0.5Co0.5Ni0.5,1.2,,350,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
MgZrTiFe0.5Co0.5Ni0.5,0.62,,623,,,https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee01543e,BCC,
MgZrTiFe0.5Co0.5Ni0.5,,,350,20,0.67,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0105,BCC,
Mo0.025Pd0.975,0.5,30.8,30,0.16,,updated Hydpark,,
Nb.736Fe.184Cr.08,1,,45,0.07,,updated Hydpark,,
Nb.865Fe.065Cr.07,1,,45,0.13,,updated Hydpark,,
Nb.8V.2,2.2,,40,0.7,,updated Hydpark,,
Nb.95Cr.05,0.9,47.2,77,0.26,,updated Hydpark,,
Nb.97Cr.03,0.9,47.2,77,0.45,,updated Hydpark,,
Nb.994Ge.006,,,40,3.4,,updated Hydpark,,
Nb0.5V0.5,2.2,,,,,updated Hydpark,,
Nb0.8V0.2,2.1,,45,0.65,,updated Hydpark,,
Nb0.93Cr0.07,0.9,46,47,0.07,,updated Hydpark,,
Nb0.95Cr0.05,0.9,47.2,77,0.26,,updated Hydpark,,
Nb0.97Cr0.03,0.9,47.2,77,0.45,,updated Hydpark,,
Nb0.985Si0.015,2,,40,1.9,,updated Hydpark,,
Nb0.99Fe0.01,2,,40,2.3,,updated Hydpark,,
Nb50Ti35Cr15,,,150,10,1.9,https://www.sciencedirect.com/science/article/pii/S2352152X23023678#da0014,BCC,
NbTiV0.5ZrHf,1.8,59.1,326,0.25,,updated Hydpark,,
NbTiVZrHf,2.2,61.8,315,0.17,,updated Hydpark,,
Ni0.025Pd0.95Rh0.025,0.7,32.6,50,0.32,,updated Hydpark,,
Ni0.05Pd0.95,,31.6,50,1.4,,updated Hydpark,,
Ni0.05Pd0.9Rh0.05,0.6,28.4,30,0.7,,updated Hydpark,,
Ni0.09Pd0.91,,29.4,50,6.8,,updated Hydpark,,
Ni0.1Pd0.825Rh0.075,0.7,21.4,30,6.3,,updated Hydpark,,
Pd.6Ag.4,0.2,,,,,updated Hydpark,,
Pd.75Ag.25,0.4,,,,,updated Hydpark,,
Pd.75Rh.25,0.8,25.4,0,5,,updated Hydpark,,
Pd.7Ag.3,0.3,46,50,0.002,,updated Hydpark,,
Pd.7Rh.3,0.9,,25,35,,updated Hydpark,,
Pd.825Ni.1Rh.075,0.7,21.4,30,6.3,,updated Hydpark,,
Pd.835Ni.125Rh0.04,0.6,21.5,30,4.7,,updated Hydpark,,
Pd.85Ni.15,0.5,,50,7.2,,updated Hydpark,,
Pd.85Ni.15,0.5,,50,6.8,,updated Hydpark,,
Pd.85Pt.075Rh.075,0.4,,0,0.8,,updated Hydpark,,
Pd.85Rh.15,0.4,,50,7.3,,updated Hydpark,,
Pd.85Rh.15,0.7,31,50,2.7,,updated Hydpark,,
Pd.88Pt.06Rh.06,0.5,24.8,0,0.3,,updated Hydpark,,
Pd.8Ag.2,0.4,,50,0.004,,updated Hydpark,,
Pd.8Rh.2,0.8,,30,4.6,,updated Hydpark,,
Pd.8Rh.2,0.8,28.4,30,4.8,,updated Hydpark,,
Pd.8Rh.2,0.8,,30,4.6,,updated Hydpark,,
Pd.901Ag.099,0.6,,25,0.01,,updated Hydpark,,
Pd.90Ag.10,0.6,,25,0.002,,updated Hydpark,,
Pd.90Pt.10,0.3,30.7,80,3,,updated Hydpark,,
Pd.90Rh.05Ni.05,0.6,,50,0.75,,updated Hydpark,,
Pd.90Rh.10,0.8,,50,0.7,,updated Hydpark,,
Pd.90Rh0.05Ni0.05,0.7,,50,0.9,,updated Hydpark,,
Pd.91Co.09,,27.2,20,4,,updated Hydpark,,
Pd.91Ni.09,,,50,3.4,,updated Hydpark,,
Pd.91Ni.09,,29.4,50,6.8,,updated Hydpark,,
Pd.91Ni.09,0.5,,50,0.9,,updated Hydpark,,
Pd.925Rh.075,0.7,32.4,30,0.3,,updated Hydpark,,
Pd.927Ir.073,0.1,17,25,0.6,,updated Hydpark,,
Pd.92Pt.08,0.4,30.7,80,1.8,,updated Hydpark,,
Pd.92Y.08,0.4,,,,,updated Hydpark,,
Pd.92Y.08,0.5,,300,5.8,,updated Hydpark,,
